analysis,outcome,predictor,coef,se,p_value,ci_low,ci_high
JavaExp time_correct_output,time_correct,JavaYears_z,4.5816910114269795,7.0649825561430655,0.5166570510593538,-9.265674798613428,18.429056821467388
JavaExp acc_syntaxBL,accuracy,JavaYears_z,-0.4254102858308411,0.24840862814628029,0.0867967744306167,-0.9122911969975505,0.06147062533586822
JavaExp time_syntaxBL,time,JavaYears_z,0.3168014691327269,0.771233040302145,0.6812392217085479,-1.1948152898594775,1.828418228124931
JavaExp time_correct_syntaxBL,time_correct,JavaYears_z,0.17016690521857034,0.8517240347367316,0.8416439406632121,-1.4992122028654236,1.8395460133025643
JavaExp readTime,read_time,JavaYears_z,-2.34779599637083,6.75933764297345,0.7283350522856151,-15.596097776598793,10.900505783857131
JavaExp snippet_total_time,snippet_total_time,JavaYears_z,19.163462116901265,13.58106889633089,0.158232154264062,-7.455432919907281,45.78235715370981
OOP acc_function,accuracy,OOP_z,0.39226616811267156,0.17558167213405887,0.02547681083225303,0.04812609072991619,0.736406245495427
OOP time_function,time,OOP_z,1.4957993643694125,9.64597370067675,0.8767662778566041,-17.410309088957018,20.40190781769584
OOP time_correct_function,time_correct,OOP_z,-2.806871763697487,7.833413973881236,0.7201035785850255,-18.16036315250471,12.546619625109736
OOP acc_output,accuracy,OOP_z,0.449583162736799,0.19835517674039593,0.023417348135302208,0.060807016325622965,0.8383593091479751
OOP time_output,time,OOP_z,-4.06045224990013,6.113948784725473,0.5066075876543898,-16.043791867962057,7.922887368161796
OOP time_correct_output,time_correct,OOP_z,-7.369858722355413,7.142238528081961,0.3021332148223729,-21.368646237396057,6.6289287926852305
OOP acc_syntaxBL,accuracy,OOP_z,0.027621230894464333,0.20154464202946612,0.8909930867062751,-0.36740626748328925,0.4226487292722179
OOP time_syntaxBL,time,OOP_z,-1.0014802015269124,0.7571693883184657,0.1859473559363931,-2.485532202631105,0.48257179957728025
OOP time_correct_syntaxBL,time_correct,OOP_z,-1.4159791636897214,0.8562599130440033,0.09819272155233608,-3.094248593255968,0.26229026587652493
OOP readTime,read_time,OOP_z,-2.106439866359702,6.761232504816263,0.7553850250185438,-15.358455575799578,11.145575843080174
OOP snippet_total_time,snippet_total_time,OOP_z,-3.5661330870576418,13.888298576400427,0.7973544035680553,-30.78719829680248,23.654932122687192
Exam acc_function,accuracy,PE_z,0.19915430837170459,0.12606649822327737,0.11416275303761983,-0.047936028145919046,0.44624464488932825
Exam time_function,time,PE_z,-3.204835797592118,9.63606193914831,0.7394455198662359,-22.09151719832281,15.681845603138573
Exam time_correct_function,time_correct,PE_z,-1.84980293093437,7.534535479775852,0.8060616560714011,-16.617492471295037,12.917886609426299
Exam acc_output,accuracy,PE_z,0.2797179095329734,0.1509948154491358,0.06395404434104215,-0.016231928747332758,0.5756677478132795
Exam time_output,time,PE_z,-3.4844058236353934,6.1129259054826655,0.5686734754979912,-15.465740598381418,8.49692895111063
Exam time_correct_output,time_correct,PE_z,-0.944432764303428,6.9451899008773035,0.8918341503426054,-14.557004970022943,12.668139441416086
Exam acc_syntaxBL,accuracy,PE_z,0.04380713427670421,0.13998708231366766,0.7543285443100411,-0.23056754705808438,0.31818181561149284
Exam time_syntaxBL,time,PE_z,-0.6249003252181617,0.7667407285669989,0.41506735942440676,-2.1277121532094796,0.8779115027731561
Exam time_correct_syntaxBL,time_correct,PE_z,-0.4990801378594421,0.852671744523952,0.5583370536553041,-2.170316757126388,1.1721564814075038
Exam readTime,read_time,PE_z,-2.100063208981177,6.761279775894518,0.756103635225335,-15.35217156973443,11.152045151772079
Exam snippet_total_time,snippet_total_time,PE_z,-7.314141946445673,13.853303955797795,0.5975195040127179,-34.46661769980935,19.838333806918005
CSKnow acc_function,accuracy,CSKnow_z,0.3514034950670207,0.13612567555542315,0.009838232682247055,0.08459717097839131,0.61820981915565
CSKnow time_function,time,CSKnow_z,-10.92978541115085,9.499907158133176,0.24993183155105836,-29.549603441091875,7.690032618790177
CSKnow time_correct_function,time_correct,CSKnow_z,-3.385062406346611,7.587714104319126,0.6555075784162192,-18.2569820508121,11.486857238118874
CSKnow acc_output,accuracy,CSKnow_z,0.3813024656550687,0.2266095606566397,0.09244467125445315,-0.06285227323194509,0.8254572045420825
CSKnow time_output,time,CSKnow_z,-11.476874301726975,6.139764641965257,0.061585340122946225,-23.510812999978878,0.5570643965249289
CSKnow time_correct_output,time_correct,CSKnow_z,-11.30076123850722,6.87096911265737,0.10002934047080482,-24.767860699315666,2.166338222301224
CSKnow acc_syntaxBL,accuracy,CSKnow_z,0.025544222366411684,0.14206200882279205,0.8573014422447146,-0.2528973149262607,0.3039857596590841
CSKnow time_syntaxBL,time,CSKnow_z,-1.0214140758295285,0.7565349638907765,0.1769770317536934,-2.5042226050554506,0.4613944533963934
CSKnow time_correct_syntaxBL,time_correct,CSKnow_z,-0.906796729374069,0.7384198559978085,0.21943825143960127,-2.3540996471297735,0.5405061883816357
CSKnow readTime,read_time,CSKnow_z,-10.208107771605217,6.58334716406768,0.12099867731451286,-23.111468213177872,2.695252669967436
CSKnow snippet_total_time,snippet_total_time,CSKnow_z,-23.428073788707362,13.420956712747348,0.0808746293858606,-49.733148945692164,2.8770013682774405
Fatigue acc_function,accuracy,position,0.0006368271804922387,0.04569765696595373,0.98888130895056,-0.08893058047277708,0.09020423483376155
Fatigue time_function,time,position,-7.9488077143497256,2.040313077025666,9.784425018648587e-05,-11.947821345320031,-3.94979408337942
Fatigue time_correct_function,time_correct,position,-2.897806546293017,2.2498692955575996,0.1977498476807822,-7.307550365585913,1.5119372729998783
Fatigue acc_output,accuracy,position,-0.09281930734102484,0.052675199324003455,0.07805131740180694,-0.19606269801607162,0.010424083334021936
Fatigue time_output,time,position,-7.448458874243044,1.8815411578268353,7.535850457869616e-05,-11.13627954358364,-3.7606382049024467
Fatigue time_correct_output,time_correct,position,-5.287335036641311,2.2971277938108847,0.021351211976319014,-9.789705512510645,-0.7849645607719768
Fatigue acc_syntaxBL,accuracy,position,0.09531404769127397,0.08789578935715694,0.2781882213581617,-0.07696169944875364,0.2675897948313016
Fatigue time_syntaxBL,time,position,-0.2205416988513144,0.26422613660318134,0.40390338936759795,-0.7384249265935497,0.297341528890921
Fatigue time_correct_syntaxBL,time_correct,position,-0.5001699337396449,0.24691918033605667,0.042801454587205474,-0.984131527198316,-0.016208340280973843
Fatigue readTime,read_time,position,-5.042346697231697,1.1712916164753584,1.6702677014973532e-05,-7.338078265523399,-2.746615128939994
Fatigue snippet_total_time,snippet_total_time,position,-15.6178082874442,2.6749267065740243,5.264350150673268e-09,-20.86066463232929,-10.374951942559113
